City,County
Liverpool,Merseyside
Manchester ,Greater Manchester
Chester,Cheshire
Preston,Lancashire
Lancaster,Lancashire
Salford,Greater Manchester
Warrington,Cheshire
StHelens,Merseyside
Blackpool,Lancashire
Bolton,Greater Manchester
Wigan,Greater Manchester
Chorley,Greater Manchester
Birkenhead,Merseyside
Southport,Merseyside
Blackburn,Lancashire
Stockport,GreaterManchester
Oldham,GreaterManchester
Rochdale,Greater Manchester
Newcastle upon Tyne,Tyne and Wear
Durham,County Durham
Middlesbrough,North Yorkshire
Hartlepool,County Durham
Gateshead,Tyne and Wear
South Shields,Tyne and Wear
Darlington,County Durham
Leeds,West Yorkshire
Sheffield,South Yorkshire
Bradford,West Yorkshire
Kingston upon Hull,East Riding of Yorkshire
York,North Yorkshire
Wakefield,West Yorkshire
Rotherham,South Yorkshire
Barnsley,South Yorkshire
Doncaster,South Yorkshire
Huddersfield,West Yorkshire
Halifax,West Yorkshire
Scunthorpe,North Lincolnshire
Nottingham,Nottinghamshire
Leicester,Leicestershire
Derby,Derbyshire
Lincoln,Lincolnshire
Northampton,Northamptonshire
Chesterfield,Derbyshire
Loughborough,Leicestershire
Mansfield,Nottinghamshire
Birmingham,West Midlands
Coventry,West Midlands
Wolverhampton,West Midlands
Stoke-on-Trent,Staffordshire
Worcester,Worcestershire
Dudley,West Midlands
Solihull,West Midlands
Telford,Shropshire
Nuneaton,Warwickshire
Hereford,Herefordshire
London,Greater London
Brighton and Hove,East Sussex
Southampton,Hampshire
Portsmouth,Hampshire
Milton Keynes,Buckinghamshire
Reading,Berkshire
Oxford,Oxfordshire
Slough,Berkshire
Maidstone,Kent
High Wycombe,Buckinghamshire
Gillingham,Kent
Basingstoke,Hampshire
Crawley,West Sussex
Eastbourne,East Sussex
Bristol,Bristol
Plymouth,Devon
Exeter,Devon
Cornwall,Cornwall
Gloucester,Gloucestershire
Cheltenham,Gloucestershire
Bath,Somerset
Taunton,Somerset
Weston-super-Mare,Somerset
Torquay,Devon
Salisbury,Wiltshire
Swindon,Wiltshire
Norwich,Norfolk
Ipswich,Suffolk
Cambridge,Cambridgeshire
Peterborough,Cambridgeshire
Luton,Bedfordshire
Southend-on-Sea,Essex
Colchester,Essex
Chelmsford,Essex
Watford,Hertfordshire
Croydon,Greater London
Kingston upon Thames,Greater London
Bromley,Greater London
Ealing,Greater London
Harrow,Greater London
Romford,Greater London
Enfield,Greater London
Ilford,Greater London
Edinburgh,Midlothian
Glasgow,Glasgow
Aberdeen,Aberdeenshire
Dundee,Angus
Inverness,Highland
Stirling,Stirlingshire
Perth,Perthshire
Paisley,Renfrewshire
Kilmarnock,East Ayrshire
Livingston,West Lothian
Dumfries,Dumfriesshire
Cardiff,South Glamorgan
Swansea,West Glamorgan
Newport,Gwent
Wrexham,Clwyd
Bangor,Gwynedd
St Asaph,Denbighshire
St Davids,Pembrokeshire
Merthyr Tydfil,Mid Glamorgan
Llandudno,Conwy
Carmarthen,Carmarthenshire
Belfast,Antrim
Derry,Londonderry
Lisburn,Antrim
Newry,Down
Armagh,Armagh
Ballymena,Antrim
Coleraine,Londonderry
Omagh,Tyrone
Newtownabbey,Antrim
