PlaceID,Address,Latitude,Longitude,DisplayName,Rating,Url
ChIJEYY1stGke0gRSLGzjbRx6yU,"Bury Business Lodge, Unit 39, Europa House, Barcroft St, Bury BL9 5BT, UK",53.597898,-2.2943211999999997,Business Utilities UK Limited,5,https://businessutilitiesuk.co.uk/
ChIJu2iU-lMDS2kRrr6fdcKAT-0,"2-10 Albert Square, Manchester M2 6LW, UK",53.4797909,-2.2456635,Unify Energy,,https://unifyenergy.co.uk/
ChIJQ4jqG0mxe0gRs0gTfkuoY3g,"16, Williams House, Science Park, Lloyd St N, Manchester M15 6SE, UK",53.4640795,-2.2365654999999998,Q Energy,5,https://qenergy.ai/
ChIJLTYmx9dze0gRphioJafPA0U,"27 Dollywaggon Way SOUTH RINGS, Bamber Bridge, Preston PR5 6EW, UK",53.719857499999996,-2.67113,SOUTH RINGS ENERGY LTD,4.1,http://www.southringsenergy.co.uk/
ChIJX-MHEFsNe0gRXCoC5d1Mo2o,"308a Station Rd, Bamber Bridge, Preston PR5 6EH, UK",53.724572099999996,-2.6612351,Eco Renewables Group Limited,4.6,http://www.ecorenewablesgroup.co.uk/
ChIJjZMC1nBDe0gR0WKBocWj3Ww,"House 18 Plymouth, Plymouth Rd, Blackpool FY3 7FH, UK",53.834860299999995,-3.0282323,UK Energy Services,,http://uk-energyservices.co.uk/
ChIJhTbz4V2eekgRJEzWWQcn-G0,"Chapter House South, Abbey Foregate, Shrewsbury, SY2 5DE, Chapter House North, 5 Abbey Lawn, Abbey Foregate, Shrewsbury SY2 5DE, UK",52.7085094,-2.742785,West Mercia Energy,,https://westmerciaenergy.co.uk/
ChIJoygihrpdeUgRSugGzIQviO4,"Fountain House, S Parade, Leeds LS1 5QX, UK",53.799307999999996,-1.5480109,Renew X Energy,4.8,https://www.renewxenergy.com/
ChIJr_QsIh3gekgRtx9bWwvDFqU,"241 Woolton Rd, Liverpool, Merseyside L16 8NA, UK",53.3909278,-2.8998105,Smart Energy Company,5,http://www.smart-energy.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6006799371428690437
ChIJXSydBmGRcUgRXchpU2DWdbM,"9 Lawn Cl, Stoke Gifford, Bristol BS16 1FR, UK",51.4994316,-2.5620290999999997,Project Solar South West,5,http://projectsolaruk.weebly.com/
