PlaceID,Rating,Text,Timestamp
ChIJY9wj7UW2e0gR2VAOSg08X1k,5,"This beautiful mosque is a gift to us from ALLAH.spacious, comfortable, clean, big car park and a large community Hall with kitchen.and of course Madrasah for the religious education for our future generations.",2022-02-19T18:38:24Z
ChIJ9-rTLpKxe0gRgMGd9bBm3ZY,5,A very clean masjid and follows covid regulations.well done,2021-05-01T23:17:41Z
ChIJRap-V2Wye0gRF6_K2TYo6Fk,5,"Great Mosque that welcomes everyone, excellent praying facilities for both men and women, and has a fantastic community ethos.",2023-04-07T08:40:46Z
ChIJ_w-3ngqze0gRiTGdMbWYg8E,4,The only nearby mosque in Stockport town area. Small mosque but cold accommodate good number of attendees. 2 Shifts for Jumaa 12.30 & 1.30 pm during winter; 1.30 & 2.30pm during summer. Parkings are limited -on surrounding areas.,2023-02-20T22:24:50Z
ChIJ3zYfGPOxe0gR7dPz1g20UPk,5,"Fantastic mosque, nice wudu section and toilets were clean and well kept. Gets full quickly on Jummah though, so arrive early for the 12:20 Jama'at. If you miss it, there's another Jama'at at 1:20.",2023-11-26T19:50:26Z
ChIJV53LFU3he0gRdQkHlQDYb6Q,2,Beautiful mosque funded by the community of uk muslims that took decades to build but ran by numpties just like the many other JTI establishments no focus on actual education of the masses or practicality but more so on how to get people to donate. Waste of potential but great to look at if your in the area.,2023-02-06T07:54:41Z
ChIJ41t3KSSye0gRxJuuazg-pag,5,Architectural nice mosque and decor is lovely too.imam very knowledgeable and friendly congregation. Very enjoyable and rewarding experience,2021-08-29T20:47:31Z
ChIJ41t3KSSye0gRxJuuazg-pag,5,"Lovely Bangladeshi community Masjid with clean facilities. No chatting, calm and quiet atmosphere. Really peaceful",2022-01-08T23:19:41Z
ChIJ41t3KSSye0gRxJuuazg-pag,5,Masha'Allah. Nice and clean Mosque,2021-07-30T19:47:37Z
ChIJfc49MAGye0gReZiu93A05vQ,4,Good Prayer Services,2021-06-09T03:57:26Z
ChIJfc49MAGye0gReZiu93A05vQ,5,"Mashallah, true commitment shown to provide excellent facilities for local Muslim Community",2024-04-03T22:52:21Z
ChIJh-ddjpyxe0gRrNy89Vsta0s,5,Good masjid with tidy and great imams in it...I loved it..,2022-03-16T07:59:12Z
ChIJh-ddjpyxe0gRrNy89Vsta0s,5,Small and a great place for daily prayer.,2023-01-27T07:55:48Z
ChIJL5SSdti5e0gR7gYyaN-nId4,5,Great mosque with ample prayer space and ample parking nearby.,2022-07-24T07:30:12Z
ChIJvdTebkKxe0gRL__VoFFcSjo,5,A beautiful mosque with clean prayer halls and a great community spirit. Please ignore all hateful comments from those who have never even visited and are just trying to defame the community.,2022-05-21T21:28:07Z
ChIJvdTebkKxe0gRL__VoFFcSjo,5,"Nice, big, well managed mosque,  Separate section for women to pray.",2022-05-22T08:30:51Z
ChIJvdTebkKxe0gRL__VoFFcSjo,5,"Lovely atmosphere, beautiful mosque. This mosque hold regular charity events such as feeding of the poor, helping other charities and collections for poppy appeal etc. Great place to learn about Islam",2022-05-26T11:13:04Z
ChIJbVAv_AWue0gRqupHubblC1U,5,One of the best few mosque in the uk very clean very organised best management team,2023-05-23T02:34:49Z
