Topics,Topic Text,distributions,Unique Words,Text
"[(4, 0.972614)]","(4, '0.014*""staff"" + 0.012*""tour"" + 0.012*""really"" + 0.010*""recommend"" + 0.007*""recycling""')","[(4, 0.97261393)]","['energy', 'us', 'business', 'deal', 'food', 'looking', 'good', 'consumption', 'rates', 'excellent']","Really nice trip ,just over an hour to learn many interesting facts about the river and canal history and see many landmarks. There are toilets on board and a well stocked looking bar ( we didn't use it). You can board from two different locations. Nice if you don't know much about Manchester."
"[(0, 0.012509961), (1, 0.012519536), (2, 0.0125063835), (3, 0.012513785), (4, 0.012513403), (5, 0.9124252), (6, 0.012505236), (7, 0.012506467)]","(5, '0.016*""great"" + 0.010*""helpful"" + 0.009*""friendly"" + 0.009*""staff"" + 0.009*""well""')","[(0, 0.012509962), (1, 0.012519577), (2, 0.012506385), (3, 0.012513784), (4, 0.012513403), (5, 0.9124252), (6, 0.012505237), (7, 0.012506468)]","['pasta', 'mosque', 'solar', 'time', 'great', 'best', 'nice', 'team', 'recommend', 'place']","Relaxing tour, make sure you grab a seat in the open - top of the boat"
"[(2, 0.38805795), (4, 0.5618806)]","(4, '0.014*""staff"" + 0.012*""tour"" + 0.012*""really"" + 0.010*""recommend"" + 0.007*""recycling""')","[(2, 0.38806972), (4, 0.5618688)]","['staff', 'great', 'well', 'really', 'food', 'helpful', 'lovely', 'friendly', 'recycling', 'good']","This is a great way to spend a couple of hours,
The commentary gives you a snapshot of the ship canal history. Give it a try you will not be disappointed."
"[(2, 0.95826083)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(2, 0.9582595)]","['cruise', 'river', 'experience', 'lovely', 'along', 'london', 'good', 'boat', 'really', 'staff']",Lovely little tour up the river you get to see some beautiful views for a reasonable price.  The staff are super friendly and knowledgeable. It is also good to support a small local business.
"[(4, 0.97810704)]","(4, '0.014*""staff"" + 0.012*""tour"" + 0.012*""really"" + 0.010*""recommend"" + 0.007*""recycling""')","[(4, 0.97810715)]","['staff', 'tour', 'really', 'recommend', 'recycling', 'time', 'trip', 'helpful', 'great', 'good']",Paul and Abi were delightful as they explained the history of Bath via boat tour with an added delight of Prosecco. We felt at ease and comfortable. They were friendly and engaging and we really enjoyed the ride. We only came to Bath for a day trip and I would highly recommend this boat tour to soak in as much as possible in a short amount of time. Thank you Paul and Abi for your hospitality.
"[(1, 0.36361346), (3, 0.5988203)]","(3, '0.013*""cruise"" + 0.012*""river"" + 0.010*""experience"" + 0.010*""lovely"" + 0.008*""along""')","[(1, 0.36361462), (3, 0.5988194)]","['great', 'helpful', 'friendly', 'staff', 'well', 'river', 'recommend', 'good', 'time', 'boat']","Such a memorable experience on board, the guide was welcoming and attentive for the prosecco top up throughout. Lovely journey along the river with a relaxing feel to the trip. Highly recommend these guys."
"[(3, 0.94162405)]","(3, '0.013*""cruise"" + 0.012*""river"" + 0.010*""experience"" + 0.010*""lovely"" + 0.008*""along""')","[(3, 0.94162256)]","['service', 'great', 'supplier', 'italian', 'prices', 'good', 'new', 'best', 'utility', 'cheaper']","The trip lasts an hour and goes up and down the river, with the captain giving commentary on the history of both the river and the various buildings along its bank."
"[(1, 0.2385977), (3, 0.7113358)]","(3, '0.013*""cruise"" + 0.012*""river"" + 0.010*""experience"" + 0.010*""lovely"" + 0.008*""along""')","[(1, 0.23857577), (3, 0.7113593)]","['great', 'helpful', 'good', 'really', 'waste', 'place', 'always', 'staff', 'amazing', 'tidy']",Lovely afternoon spent on the River very informative and relaxing lasted about a hour with great commentary lovely landmarks and scenery all for £13 for a adult.
"[(2, 0.9325914)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(2, 0.93259543)]",,"Well worth the 1 hour trip up the river, staff very knowledgeable and the history talk is well worth the trip."
"[(3, 0.9601775)]","(3, '0.013*""cruise"" + 0.012*""river"" + 0.010*""experience"" + 0.010*""lovely"" + 0.008*""along""')","[(3, 0.96017826)]",,"Had a lovely time, took the 2 hour cruise. Staff were lovely and couldn't be more helpful and communicative. The recorded guide was informative, in places very amusing, and the views along the river are beautiful! A good trip out."
"[(5, 0.97175246)]","(5, '0.016*""great"" + 0.010*""helpful"" + 0.009*""friendly"" + 0.009*""staff"" + 0.009*""well""')","[(5, 0.97175235)]",,Great trip up the River Dee ... Relaxing and very informative with a great commentary most of the way. Lovely houses on the way and great stately homes and estates too. Boat has a cafe and bar and the team onboard are friendly and helpful. Toilet on board too. Easy to book online or at the dock side.
"[(0, 0.017870517), (1, 0.017861463), (2, 0.8748878), (3, 0.0178929), (4, 0.017875278), (5, 0.017889135), (6, 0.01786107), (7, 0.017861804)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(0, 0.017870517), (1, 0.017861465), (2, 0.8748898), (3, 0.017892065), (4, 0.017875278), (5, 0.017888036), (6, 0.017861074), (7, 0.017861804)]",,"A lovely boat ride on the river Dee,commentary was very informative..excellent."
"[(2, 0.9780957)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(2, 0.9780955)]",,"Visited the Sabrina boat with my husband & four children. We hadn’t pre booked but called the office on the day & managed to get booked in on the same day.
The boat ride was lovely, the children really enjoyed it & the guide on the landmarks along the river was so interesting & taught us facts we never even knew!!

I would definitely recommend & great value for money!"
"[(0, 0.52069765), (3, 0.4524808)]","(0, '0.017*""energy"" + 0.015*""us"" + 0.011*""business"" + 0.006*""deal"" + 0.006*""food""')","[(0, 0.5206789), (3, 0.45250064)]",,"We enjoy the boat trip immensely. The commentary was informative , the pace was lovely and gentle , a great way to experience the calm of the river and to get a feel for Shrewsbury.  We parked in nearby car park, booked on the day,  and had some refreshments onboard. Everyone loved it ."
"[(5, 0.9326305)]","(5, '0.016*""great"" + 0.010*""helpful"" + 0.009*""friendly"" + 0.009*""staff"" + 0.009*""well""')","[(5, 0.9326304)]",,"A very enjoyable little trip along the river, refreshments can be purchased on the boat, the staff were great and the commentary was very informative."
"[(0, 0.94521594)]","(0, '0.017*""energy"" + 0.015*""us"" + 0.011*""business"" + 0.006*""deal"" + 0.006*""food""')","[(0, 0.9452209)]",,"Super guide on the river Stour, Capt. Roy who told us heaps of interesting information and made our boat trip fun!"
"[(0, 0.012507575), (1, 0.012506648), (2, 0.012513147), (3, 0.012520654), (4, 0.9124029), (5, 0.012528405), (6, 0.012507878), (7, 0.01251271)]","(4, '0.014*""staff"" + 0.012*""tour"" + 0.012*""really"" + 0.010*""recommend"" + 0.007*""recycling""')","[(0, 0.012507577), (1, 0.012506649), (2, 0.0125131495), (3, 0.012520661), (4, 0.9123986), (5, 0.012532814), (6, 0.01250788), (7, 0.012512713)]",,"Great relaxing tour of river stour,guide was very informative and funny,would highly recommend"
