PlaceID,Rating,Text,Timestamp,Topics,Topic Text,distributions
ChIJ4zfghFWue0gRJ8GlyDWGfzI,5,"Really nice trip ,just over an hour to learn many interesting facts about the river and canal history and see many landmarks. There are toilets on board and a well stocked looking bar ( we didn't use it). You can board from two different locations. Nice if you don't know much about Manchester.",2022-04-19T05:53:11Z,"(0, 0.9888514)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9888562), (1, 0.011143859)]"
ChIJ4zfghFWue0gRJ8GlyDWGfzI,4,"Relaxing tour, make sure you grab a seat in the open - top of the boat",2022-06-29T07:43:08Z,"(0, 0.9661643)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9661648), (1, 0.033835217)]"
ChIJ4zfghFWue0gRJ8GlyDWGfzI,5,"This is a great way to spend a couple of hours,
The commentary gives you a snapshot of the ship canal history. Give it a try you will not be disappointed.",2023-06-03T06:11:53Z,"(0, 0.98196507)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.98196447), (1, 0.018035514)]"
ChIJ_zvtnhSBcUgRvMM9jhuYwVs,5,Lovely little tour up the river you get to see some beautiful views for a reasonable price.  The staff are super friendly and knowledgeable. It is also good to support a small local business.,2020-08-09T10:14:11Z,"(0, 0.9829027)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9829112), (1, 0.01708873)]"
ChIJ_zvtnhSBcUgRvMM9jhuYwVs,5,Paul and Abi were delightful as they explained the history of Bath via boat tour with an added delight of Prosecco. We felt at ease and comfortable. They were friendly and engaging and we really enjoyed the ride. We only came to Bath for a day trip and I would highly recommend this boat tour to soak in as much as possible in a short amount of time. Thank you Paul and Abi for your hospitality.,2023-07-28T15:20:21Z,"(0, 0.9924657)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.992466)]"
ChIJ_zvtnhSBcUgRvMM9jhuYwVs,5,"Such a memorable experience on board, the guide was welcoming and attentive for the prosecco top up throughout. Lovely journey along the river with a relaxing feel to the trip. Highly recommend these guys.",2021-11-11T21:43:20Z,"(0, 0.9827806)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9827808), (1, 0.017219244)]"
ChIJ23ayFakxeUgRGOJMyCVXKuo,4,"The trip lasts an hour and goes up and down the river, with the captain giving commentary on the history of both the river and the various buildings along its bank.",2021-09-07T10:17:05Z,"(0, 0.98271626)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9827221), (1, 0.017277911)]"
ChIJ23ayFakxeUgRGOJMyCVXKuo,5,Lovely afternoon spent on the River very informative and relaxing lasted about a hour with great commentary lovely landmarks and scenery all for £13 for a adult.,2022-08-09T14:20:39Z,"(0, 0.97789174)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9778888), (1, 0.022111224)]"
ChIJ23ayFakxeUgRGOJMyCVXKuo,4,"Well worth the 1 hour trip up the river, staff very knowledgeable and the history talk is well worth the trip.",2023-07-16T20:09:43Z,"(0, 0.9725463)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9725482), (1, 0.027451847)]"
ChIJAcz0Ck7dekgRBn2EG_u3BEI,5,"Had a lovely time, took the 2 hour cruise. Staff were lovely and couldn't be more helpful and communicative. The recorded guide was informative, in places very amusing, and the views along the river are beautiful! A good trip out.",2023-04-10T09:33:11Z,"(0, 0.9845999)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.98459995), (1, 0.015400083)]"
ChIJAcz0Ck7dekgRBn2EG_u3BEI,5,Great trip up the River Dee ... Relaxing and very informative with a great commentary most of the way. Lovely houses on the way and great stately homes and estates too. Boat has a cafe and bar and the team onboard are friendly and helpful. Toilet on board too. Easy to book online or at the dock side.,2022-07-22T15:27:44Z,"(0, 0.9898252)","(0, '0.043*""and"" + 0.041*""the"" + 0.024*""to"" + 0.021*""a"" + 0.015*""of""')","[(0, 0.9898246), (1, 0.010175433)]"
