code,name,Median Age,Population Density ,Population Density Deciles,Age 0-15,Age 65+,Age 85+,Working age 16-64,Age 70+,Domestic Mean kWh,Non Domestic Mean kWh,Mean kWh,Domestic kWh,Domestic kWh / Density,Non Domestic kWh / Density,Total kWh / Density
E06000001,Hartlepool,41.7,999,7,19.2,19.4,2.5,61.4,13.9,3724,132862,12339,12,4,133,12
E06000002,Middlesbrough,36.3,2616,9,21.1,16.4,2,62.5,11.7,3861,134578,12349,5,1,51,5
E06000003,Redcar and Cleveland,45.2,560,6,18.1,22.6,2.7,59.3,16.6,3959,269022,19075,34,7,480,34
E06000004,Stockton-on-Tees,40.7,963,7,20,18.5,2.3,61.6,13.1,4003,193857,15206,16,4,201,16
E06000005,Darlington,43.2,541,5,18.9,20.5,2.7,60.6,15.1,4047,88758,9971,18,7,164,18
E06000006,Halton,40.9,1636,8,20,18.4,1.9,61.6,12.6,4125,181542,15066,9,3,111,9
E06000007,Warrington,42.3,1163,7,18.9,18.9,2.2,62.2,13.8,4304,125243,12275,11,4,108,11
E06000008,Blackburn with Darwen,36.5,1092,7,23.1,14.5,1.6,62.4,10.2,4570,113761,13611,12,4,104,12
E06000009,Blackpool,43.4,3999,9,18.8,20.4,2.6,60.8,15.1,4877,55587,9891,2,1,14,2
E06000010,"Kingston upon Hull, City of",35.8,3629,9,20.1,15.1,1.8,64.8,10.7,4095,111362,11237,3,1,31,3
E06000011,East Riding of Yorkshire,49.2,142,2,16.4,26.2,3.2,57.4,19.2,4699,72764,10149,71,33,512,71
E06000012,North East Lincolnshire,42.6,828,6,19.5,20.6,2.8,59.9,15.1,4241,136177,12675,15,5,164,15
E06000013,North Lincolnshire,44.3,204,3,18.5,21.3,2.6,60.2,15.2,4336,192301,18971,93,21,943,93
E06000014,York,37.7,775,6,15.6,18.4,2.6,66,13.7,4178,75454,9612,12,5,97,12
E06000015,Derby,37,3297,9,21,16.5,2.5,62.6,12.2,4235,107683,10997,3,1,33,3
E06000016,Leicester,31.6,4830,10,21.5,12.2,1.7,66.4,8.4,3858,90935,12070,3,1,19,3
E06000017,Rutland,47.6,105,2,16.9,25.5,3.4,57.6,18.9,5428,216587,26961,257,52,2063,257
E06000018,Nottingham,29.7,4462,10,18.8,11.6,1.7,69.6,8.2,4017,84353,10985,2,1,19,2
E06000019,"Herefordshire, County of",47.4,88,1,16.7,24.7,3.3,58.6,18.1,5731,67068,12610,143,65,762,143
E06000020,Telford and Wrekin,39.5,620,6,20.6,17.3,1.8,62.1,12.2,4641,145023,15251,25,7,234,25
E06000021,Stoke-on-Trent,37.8,2743,9,20.5,17.2,2,62.3,12.3,4088,96321,11115,4,1,35,4
