year,LAD13CD,region,LAD13NM,domestic_mean_kwh,non_domestic_mean_kwh,all_mean_kwh,
2021,E06000001,North East,Hartlepool,2907.788401,99692.8233,9375.571941,3058.677852
2021,E06000002,North East,Middlesbrough,2895.754432,53879.05416,6151.443172,3269.704933
2021,E06000003,North East,Redcar and Cleveland,2911.769537,137673.8966,10600.47212,3034.606511
2021,E06000004,North East,Stockton-on-Tees,3049.274199,161785.8156,12417.76083,3263.087557
2021,E06000005,North East,Darlington,3102.998802,63023.65751,7352.713554,3348.358151
2021,E06000047,North East,County Durham,2960.652298,62992.88106,6812.261113,3109.642654
2021,E06000057,North East,Northumberland,3363.753893,62675.59193,8262.876214,3700.092496
2021,E08000021,North East,Newcastle upon Tyne,2998.074326,66302.16056,7547.264962,3176.907758
2021,E08000022,North East,North Tyneside,2827.749506,73957.65618,6763.351516,2964.189743
2021,E08000023,North East,South Tyneside,2696.370902,45019.84984,4988.307906,2783.982782
2021,E08000024,North East,Sunderland,2821.628442,82965.9529,7582.263407,3032.963072
2021,E08000037,North East,Gateshead,2865.779845,79909.54838,7802.300922,3003.317023
2021,E06000006,North West,Halton,3145.494782,128961.3528,10539.17286,3208.254322
2021,E06000007,North West,Warrington,3320.721959,83956.53309,8480.366684,3398.723432
2021,E06000008,North West,Blackburn with Darwen,3226.836053,65706.60419,8152.653979,3469.974241
2021,E06000009,North West,Blackpool,3257.630054,35425.29364,6326.731683,3499.355917
2021,E06000049,North West,Cheshire East,3799.227333,62176.14336,8177.977264,4058.392528
2021,E06000050,North West,Cheshire West and Chester,3502.72235,112523.8884,11286.65458,3699.567534
2021,E07000026,North West,Allerdale,3492.04359,73841.68854,11069.66344,3767.543418
2021,E07000027,North West,Barrow-in-Furness,2954.844122,116674.7926,10903.69118,3159.380526
2021,E07000028,North West,Carlisle,3358.027064,64887.20894,9186.456533,3584.733013
2021,E07000029,North West,Copeland,3493.109118,34864.34482,6007.840885,3957.745938
2021,E07000030,North West,Eden,4481.678757,52842.90743,11524.83196,4902.663765
2021,E07000031,North West,South Lakeland,4061.596678,37920.17304,8376.518814,4642.410948
2021,E07000117,North West,Burnley,3051.184609,61076.0563,7325.094737,3318.364201
2021,E07000118,North West,Chorley,3506.610713,53523.83372,6779.070564,3502.805679
2021,E07000119,North West,Fylde,3660.986248,56750.90078,8038.125739,3721.825394
2021,E07000120,North West,Hyndburn,3028.273983,55300.12571,7069.905296,3161.595831
2021,E07000121,North West,Lancaster,3417.330298,48421.2185,7348.262689,3590.499535
2021,E07000122,North West,Pendle,3163.476963,56021.8125,7195.21708,3300.805193
2021,E07000123,North West,Preston,3322.977865,55894.35584,7759.727099,3632.597821
2021,E07000124,North West,Ribble Valley,4070.238659,105278.6767,14029.77977,4212.524064
2021,E07000125,North West,Rossendale,3440.913647,70949.56123,8609.095514,3528.494146
2021,E07000126,North West,South Ribble,3337.285659,73198.03499,8010.73689,3513.162593
