code,name,Median Age,Population Density ,Population Density Deciles,Age 0-15,Age 65+,Age 85+,Working age 16-64,Age 70+,Domestic Mean kWh,Non Domestic Mean kWh,Mean kWh,Domestic kWh,Domestic kWh / Density,Non Domestic kWh / Density,Total kWh / Density
E06000001,Hartlepool,41.7,999,7,19.2,19.4,2.5,61.4,13.9,"3,724","132,862","12,339",12.35,3.73,133,12.35
E06000002,Middlesbrough,36.3,2616,9,21.1,16.4,2,62.5,11.7,"3,861","134,578","12,349",4.72,1.48,51.44,4.72
E06000003,Redcar and Cleveland,45.2,560,6,18.1,22.6,2.7,59.3,16.6,"3,959","269,022","19,075",34.06,7.07,480.4,34.06
E06000004,Stockton-on-Tees,40.7,963,7,20,18.5,2.3,61.6,13.1,"4,003","193,857","15,206",15.79,4.16,201.3,15.79
E06000005,Darlington,43.2,541,5,18.9,20.5,2.7,60.6,15.1,"4,047","88,758","9,971",18.43,7.48,164.06,18.43
E06000006,Halton,40.9,1636,8,20,18.4,1.9,61.6,12.6,"4,125","181,542","15,066",9.21,2.52,110.97,9.21
E06000007,Warrington,42.3,1163,7,18.9,18.9,2.2,62.2,13.8,"4,304","125,243","12,275",10.55,3.7,107.69,10.55
E06000008,Blackburn with Darwen,36.5,1092,7,23.1,14.5,1.6,62.4,10.2,"4,570","113,761","13,611",12.46,4.19,104.18,12.46
E06000009,Blackpool,43.4,3999,9,18.8,20.4,2.6,60.8,15.1,"4,877","55,587","9,891",2.47,1.22,13.9,2.47
E06000010,"Kingston upon Hull, City of",35.8,3629,9,20.1,15.1,1.8,64.8,10.7,"4,095","111,362","11,237",3.1,1.13,30.69,3.1
E06000011,East Riding of Yorkshire,49.2,142,2,16.4,26.2,3.2,57.4,19.2,"4,699","72,764","10,149",71.47,33.09,512.43,71.47
E06000012,North East Lincolnshire,42.6,828,6,19.5,20.6,2.8,59.9,15.1,"4,241","136,177","12,675",15.31,5.12,164.47,15.31
E06000013,North Lincolnshire,44.3,204,3,18.5,21.3,2.6,60.2,15.2,"4,336","192,301","18,971",93,21.26,942.65,93
E06000014,York,37.7,775,6,15.6,18.4,2.6,66,13.7,"4,178","75,454","9,612",12.4,5.39,97.36,12.4
E06000015,Derby,37,3297,9,21,16.5,2.5,62.6,12.2,"4,235","107,683","10,997",3.34,1.28,32.66,3.34
E06000016,Leicester,31.6,4830,10,21.5,12.2,1.7,66.4,8.4,"3,858","90,935","12,070",2.5,0.8,18.83,2.5
E06000017,Rutland,47.6,105,2,16.9,25.5,3.4,57.6,18.9,"5,428","216,587","26,961",256.77,51.7,"2,062.73",256.77
E06000018,Nottingham,29.7,4462,10,18.8,11.6,1.7,69.6,8.2,"4,017","84,353","10,985",2.46,0.9,18.9,2.46
E06000019,"Herefordshire, County of",47.4,88,1,16.7,24.7,3.3,58.6,18.1,"5,731","67,068","12,610",143.29,65.13,762.14,143.29
E06000020,Telford and Wrekin,39.5,620,6,20.6,17.3,1.8,62.1,12.2,"4,641","145,023","15,251",24.6,7.48,233.91,24.6
E06000021,Stoke-on-Trent,37.8,2743,9,20.5,17.2,2,62.3,12.3,"4,088","96,321","11,115",4.05,1.49,35.12,4.05
E06000022,Bath and North East Somerset,38.2,559,6,16.7,19,2.8,64.3,14.1,"4,763","53,593","9,700",17.35,8.52,95.87,17.35
E06000023,"Bristol, City of",32.4,4224,10,18.5,13,2,68.5,9.5,"4,223","73,460","10,519",2.49,1,17.39,2.49
E06000024,North Somerset,46,575,6,18.2,24,3.4,57.8,18.1,"4,617","58,772","8,978",15.61,8.03,102.21,15.61
E06000025,South Gloucestershire,40.6,574,6,18.8,18.8,2.6,62.4,14,"4,901","153,592","14,028",24.44,8.54,267.58,24.44
E06000026,Plymouth,38.6,3282,9,18.2,18.5,2.5,63.3,13.6,"4,181","92,370","10,201",3.11,1.27,28.14,3.11
E06000027,Torbay,49.1,2167,8,16.8,26.9,3.8,56.4,20.1,"4,490","48,392","8,624",3.98,2.07,22.33,3.98
E06000030,Swindon,40.1,966,7,20.5,16.3,2.1,63.2,11.6,"4,406","155,087","14,380",14.89,4.56,160.55,14.89
E06000031,Peterborough,36.7,589,6,23.4,14.9,2.1,61.7,10.6,"4,324","109,998","12,826",21.78,7.34,186.75,21.78
E06000032,Luton,34.6,4914,10,24.5,12.6,1.8,62.9,9.1,"4,340","92,076","10,386",2.11,0.88,18.74,2.11
E06000033,Southend-on-Sea,41.8,4394,10,19.6,19.5,3,60.9,14.4,"4,591","54,566","8,737",1.99,1.04,12.42,1.99
E06000034,Thurrock,36.9,1064,7,23.3,13.8,1.6,62.9,9.7,"4,815","184,701","16,492",15.5,4.53,173.59,15.5
E06000035,Medway,38.2,1438,7,21,16.1,1.8,62.9,11.5,"4,405","67,006","8,897",6.19,3.06,46.6,6.19
