PlaceID,Address,Latitude,Longitude,DisplayName,Rating,Url,Types
ChIJ4zfghFWue0gRJ8GlyDWGfzI,"The Quays, Salford, Manchester M50 3AZ, UK",53.4700413,-2.2952963,Manchester River Cruises,4.4,http://www.manchesterrivercruises.com/,"travel_agency, point_of_interest, establishment"
ChIJ_zvtnhSBcUgRvMM9jhuYwVs,"Postal Address Only, Suite 190, 3 Edgar Buildings, George Street, Bath BA1 2FJ, UK",51.3780752,-2.3620674,River Adventures Ltd,4.5,http://riveradventures.co.uk/,"event_venue, travel_agency, point_of_interest, establishment"
ChIJ23ayFakxeUgRGOJMyCVXKuo,"King's Staith, York YO1 9SN, UK",53.9563141,-1.0828761999999998,City Cruises York - Kings Staith Landing,4.4,https://www.cityexperiences.com/york/city-cruises/?pageNo=1&query=&sortBy=prodv3_ce_experiences_weightScaled_desc&city=York&country=&&brandTag=&webCategoriesMain=&durationTiming=&priceMin=&priceMax=&dateMin=&dateMax=&hierarchical.lvl0=&showPriceWithFees=false&showSpecialOffers=false&utm_source=google&utm_medium=organic&utm_campaign=google-listing-york,"event_venue, travel_agency, point_of_interest, establishment"
ChIJAcz0Ck7dekgRBn2EG_u3BEI,"Souter's Ln, The Groves, Chester CH1 1SZ, UK",53.1876362,-2.8861969999999997,ChesterBoat,4.5,http://www.chesterboat.co.uk/,"tourist_attraction, wedding_venue, event_venue, travel_agency, point_of_interest, establishment"
ChIJ4XOfWQefekgRABI54HCk55I,"Victoria House Victoria Quay, Victoria Ave, Welsh Bridge, Shrewsbury SY1 1HH, UK",52.7096539,-2.7586907999999997,Sabrina Boat,4.7,http://www.sabrinaboat.co.uk/,"travel_agency, point_of_interest, establishment"
ChIJva9gkLXL3kcRNI9B3z6RB78,"The Kings Bridge Saint Peter's Street, by Old Weavers Restaurant, Canterbury CT1 2AT, UK",51.2800028,1.078392,Canterbury Historic River Tours,4.6,http://www.canterburyrivertours.co.uk/,"visitor_center, historical_landmark, travel_agency, point_of_interest, establishment"
ChIJdZwApjHOcEgRlwelgMV9ung,"Waterside, Stratford-upon-Avon CV37 6AT, UK",52.191083799999994,-1.7026006,Canal and River Tours Ltd,4.5,http://www.canalandrivertours.com/,"travel_agency, point_of_interest, establishment"
ChIJB2u85MV0e0gRE8BkiYATzRo,"Riley Green Marina, Bolton Rd, Hoghton PR5 0SP, UK",53.720835099999995,-2.5693365999999997,Canal Boat Cruises of Riley Green,4.8,http://www.canalboatcruises.co.uk/,"wedding_venue, event_venue, travel_agency, restaurant, food, point_of_interest, establishment"
ChIJ05WEYJbze0gRJRgAvdmuWWA,"The Wharf Office, 3 Coach St, Skipton BD23 1LH, UK",53.96044,-2.0197977,Skipton Boat Trips,4.7,http://www.canaltrips.co.uk/,"tourist_attraction, point_of_interest, establishment"
ChIJwTU56x3EdkgRZWg6_jCYkPs,"1 Abingdon Rd, Oxford OX1 4JU, UK",51.7461589,-1.2564705999999999,Oxford River Cruises,4.7,http://www.oxfordrivercruises.com/,"travel_agency, point_of_interest, establishment"
ChIJh1Hj6dUjj0gRqvDu84dWSl8,"Caledonian Canal, Fort Augustus PH32 4BD, UK",57.144864,-4.6796719,Cruise Loch Ness,4.6,http://www.cruiselochness.com/,"travel_agency, point_of_interest, establishment"
ChIJ2wVTy_1De0gR7kMhkOjkw3o,"298 Highfield Rd, Blackpool FY4 3JU, UK",53.788208,-3.0323392,River Cruising,5,https://www.rivercruising.co.uk/,"travel_agency, point_of_interest, establishment"
ChIJky_cC-jDeUgRc1yUfBJYFc0,"100 Racecourse Rd, Colwick, Nottingham NG2 4RF, UK",52.9451073,-1.113218,Princess River Cruises,4.5,http://www.princessrivercruises.co.uk/,"wedding_venue, event_venue, travel_agency, point_of_interest, establishment"
ChIJW2yo4qcxeUgR4EaSNKvQhuo,"Lendal Bridge, York YO1 7DP, UK",53.9602983,-1.087628,City Cruises - Lendal Bridge Landing,4.3,https://www.cityexperiences.com/york/city-cruises/?utm_source=google&utm_medium=organic&utm_campaign=york-google-listing-lendal-bridge,"tourist_attraction, travel_agency, point_of_interest, establishment"
ChIJAcVkt8cEdkgRMppkB6-eoGE,"Riverside Building, County Hall, Westminster Bridge Rd, London SE1 7PB, UK",51.5029205,-0.1183738,London Eye River Cruise,4.6,https://www.londoneye.com/tickets-and-prices/river-cruise/,"tourist_attraction, point_of_interest, establishment"
ChIJWRQ7JoUCdkgRWTutHYUlZA8,"Westminster Pier, Victoria Embankment, London SW1A 2JH, UK",51.502020699999996,-0.1231574,Thames River Sightseeing,4.5,https://www.thamesriversightseeing.com/,"tourist_attraction, travel_agency, point_of_interest, establishment"
ChIJ93ywzh2bdkgR3I7KNpfJrAc,"Thames Side Promenade, Caversham, Reading RG4 8BD, UK",51.4657102,-0.9782414,Thames Rivercruise Reading,4.7,http://www.thamesrivercruise.co.uk/,"cafe, event_venue, travel_agency, restaurant, food, point_of_interest, establishment"
ChIJ4cOs1w6te0gR8aI3PAPCLag,"Castlefield Events Arena, Liverpool Rd, Manchester M3 4JR, UK",53.4758603,-2.2566497,City Centre Cruises,4.7,https://www.citycentrecruises.com/,"wedding_venue, event_venue, bar, restaurant, food, point_of_interest, establishment"
ChIJ4TszkUG9cEgRf5A0n0Nvsv8,"Narrow Boat Bosworth Lady, The Water's Edge, Brindley Pl, Birmingham B1 2JB, UK",52.4789556,-1.9129367000000002,Brindley Cruises,4.7,http://brindleycruises.co.uk/,"travel_agency, point_of_interest, establishment"
ChIJBfEESiR0ekgRiB37lIra8w0,"Parkgate Lock, Teddesley Rd, Penkridge, Stafford ST19 5RH, UK",52.740196999999995,-2.094098,Georgies Canal Cruises,4.8,http://www.georgiescanalcruises.co.uk/,"cafe, travel_agency, food, point_of_interest, establishment"
