Topics,Topic Text,distributions,Unique Words,Text
"[(2, 0.089304596), (3, 0.4452798), (4, 0.44966137)]","(4, '0.023*""staff"" + 0.020*""helpful"" + 0.017*""recycling"" + 0.014*""well"" + 0.012*""waste""')","[(2, 0.08785157), (3, 0.44629124), (4, 0.45010287)]","['place', 'great', 'staff', 'friendly', 'bjj', 'brazilian', 'nice', 'academy', 'points', 'fantastic']","Really nice trip ,just over an hour to learn many interesting facts about the river and canal history and see many landmarks. There are toilets on board and a well stocked looking bar ( we didn't use it). You can board from two different locations. Nice if you don't know much about Manchester."
"[(0, 0.016738646), (1, 0.01674291), (2, 0.91640645), (3, 0.016735097), (4, 0.016673928), (5, 0.016702985)]","(2, '0.017*""great"" + 0.012*""good"" + 0.011*""tour"" + 0.010*""staff"" + 0.010*""recommend""')","[(0, 0.016738817), (1, 0.016742397), (2, 0.9164069), (3, 0.016734913), (4, 0.016673928), (5, 0.016702984)]","['food', 'really', 'italian', 'good', 'restaurant', 'pasta', 'amazing', 'definitely', 'nice', 'service']","Relaxing tour, make sure you grab a seat in the open - top of the boat"
"[(0, 0.24969208), (1, 0.0112016015), (2, 0.70562524), (3, 0.011194942), (4, 0.011140762), (5, 0.011145371)]","(2, '0.017*""great"" + 0.012*""good"" + 0.011*""tour"" + 0.010*""staff"" + 0.010*""recommend""')","[(0, 0.2496926), (1, 0.011201593), (2, 0.7056248), (3, 0.011194866), (4, 0.011140762), (5, 0.011145371)]","['great', 'good', 'tour', 'staff', 'recommend', 'trip', 'food', 'boat', 'pasta', 'time']","This is a great way to spend a couple of hours,
The commentary gives you a snapshot of the ship canal history. Give it a try you will not be disappointed."
"[(3, 0.9599379)]","(3, '0.012*""great"" + 0.010*""river"" + 0.009*""recommend"" + 0.008*""cruise"" + 0.008*""helpful""')","[(3, 0.95994043)]","['great', 'river', 'recommend', 'cruise', 'helpful', 'experience', 'service', 'friendly', 'highly', 'energy']",Lovely little tour up the river you get to see some beautiful views for a reasonable price.  The staff are super friendly and knowledgeable. It is also good to support a small local business.
"[(2, 0.9790667)]","(2, '0.017*""great"" + 0.012*""good"" + 0.011*""tour"" + 0.010*""staff"" + 0.010*""recommend""')","[(2, 0.9790642)]","['staff', 'helpful', 'recycling', 'well', 'waste', 'organised', 'clean', 'great', 'supplier', 'recycle']",Paul and Abi were delightful as they explained the history of Bath via boat tour with an added delight of Prosecco. We felt at ease and comfortable. They were friendly and engaging and we really enjoyed the ride. We only came to Bath for a day trip and I would highly recommend this boat tour to soak in as much as possible in a short amount of time. Thank you Paul and Abi for your hospitality.
"[(2, 0.35319984), (3, 0.6133513)]","(3, '0.012*""great"" + 0.010*""river"" + 0.009*""recommend"" + 0.008*""cruise"" + 0.008*""helpful""')","[(2, 0.35321757), (3, 0.61333346)]","['energy', 'time', 'service', 'lovely', 'great', 'help', 'us', 'made', 'consumption', 'good']","Such a memorable experience on board, the guide was welcoming and attentive for the prosecco top up throughout. Lovely journey along the river with a relaxing feel to the trip. Highly recommend these guys."
"[(0, 0.011203926), (1, 0.32090038), (2, 0.01118969), (3, 0.6344203), (4, 0.011135805), (5, 0.011149943)]","(3, '0.012*""great"" + 0.010*""river"" + 0.009*""recommend"" + 0.008*""cruise"" + 0.008*""helpful""')","[(0, 0.011203895), (1, 0.32090786), (2, 0.011191195), (3, 0.63441133), (4, 0.011135806), (5, 0.011149947)]",,"The trip lasts an hour and goes up and down the river, with the captain giving commentary on the history of both the river and the various buildings along its bank."
"[(0, 0.011125023), (1, 0.011170845), (2, 0.011264634), (3, 0.6951909), (4, 0.26009026), (5, 0.01115837)]","(3, '0.012*""great"" + 0.010*""river"" + 0.009*""recommend"" + 0.008*""cruise"" + 0.008*""helpful""')","[(0, 0.011125022), (1, 0.011170842), (2, 0.011265234), (3, 0.6951865), (4, 0.26009405), (5, 0.01115837)]",,Lovely afternoon spent on the River very informative and relaxing lasted about a hour with great commentary lovely landmarks and scenery all for £13 for a adult.
"[(0, 0.012854563), (1, 0.012879912), (2, 0.012986293), (3, 0.93543464), (4, 0.012993226), (5, 0.012851355)]","(3, '0.012*""great"" + 0.010*""river"" + 0.009*""recommend"" + 0.008*""cruise"" + 0.008*""helpful""')","[(0, 0.012854565), (1, 0.0128799165), (2, 0.012989887), (3, 0.93543106), (4, 0.012993241), (5, 0.0128513565)]",,"Well worth the 1 hour trip up the river, staff very knowledgeable and the history talk is well worth the trip."
"[(3, 0.549629), (5, 0.41981962)]","(3, '0.012*""great"" + 0.010*""river"" + 0.009*""recommend"" + 0.008*""cruise"" + 0.008*""helpful""')","[(3, 0.5496299), (5, 0.4198187)]",,"Had a lovely time, took the 2 hour cruise. Staff were lovely and couldn't be more helpful and communicative. The recorded guide was informative, in places very amusing, and the views along the river are beautiful! A good trip out."
"[(3, 0.9729946)]","(3, '0.012*""great"" + 0.010*""river"" + 0.009*""recommend"" + 0.008*""cruise"" + 0.008*""helpful""')","[(3, 0.97299445)]",,Great trip up the River Dee ... Relaxing and very informative with a great commentary most of the way. Lovely houses on the way and great stately homes and estates too. Boat has a cafe and bar and the team onboard are friendly and helpful. Toilet on board too. Easy to book online or at the dock side.
"[(0, 0.023840602), (1, 0.023863304), (2, 0.024094224), (3, 0.024030006), (4, 0.023836212), (5, 0.8803356)]","(5, '0.009*""energy"" + 0.008*""time"" + 0.006*""service"" + 0.006*""lovely"" + 0.006*""great""')","[(0, 0.023840608), (1, 0.02386331), (2, 0.024101993), (3, 0.024030047), (4, 0.023836218), (5, 0.8803278)]",,"A lovely boat ride on the river Dee,commentary was very informative..excellent."
