Topics,Topic Text,distributions,Unique Words,Text
"[(1, 0.9731496)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.97314906)]","['well', 'energy', 'us', 'staff', 'time', 'good', 'friendly', 'thank', 'nice', 'service']","Really nice trip ,just over an hour to learn many interesting facts about the river and canal history and see many landmarks. There are toilets on board and a well stocked looking bar ( we didn't use it). You can board from two different locations. Nice if you don't know much about Manchester."
"[(0, 0.014309997), (1, 0.014350332), (2, 0.0143022295), (3, 0.014311328), (4, 0.014308696), (5, 0.91412205), (6, 0.014295367)]","(5, '0.009*""good"" + 0.008*""great"" + 0.007*""cruise"" + 0.007*""staff"" + 0.007*""mosque""')","[(0, 0.014310004), (1, 0.014357918), (2, 0.014302232), (3, 0.014311335), (4, 0.014308701), (5, 0.9141144), (6, 0.014295369)]","['river', 'really', 'trip', 'tour', 'boat', 'staff', 'great', 'recommend', 'place', 'commentary']","Relaxing tour, make sure you grab a seat in the open - top of the boat"
"[(2, 0.9427795)]","(2, '0.010*""great"" + 0.009*""good"" + 0.007*""staff"" + 0.007*""time"" + 0.006*""hours""')","[(2, 0.9427749)]","['great', 'good', 'staff', 'time', 'hours', 'service', 'lovely', 'way', 'well', 'food']","This is a great way to spend a couple of hours,
The commentary gives you a snapshot of the ship canal history. Give it a try you will not be disappointed."
"[(1, 0.82870406), (4, 0.13715309)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.82866156), (4, 0.13719556)]","['helpful', 'staff', 'recycling', 'great', 'clean', 'recommend', 'also', 'well', 'organised', 'highly']",Lovely little tour up the river you get to see some beautiful views for a reasonable price.  The staff are super friendly and knowledgeable. It is also good to support a small local business.
"[(1, 0.23091903), (5, 0.7511907)]","(5, '0.009*""good"" + 0.008*""great"" + 0.007*""cruise"" + 0.007*""staff"" + 0.007*""mosque""')","[(1, 0.23093854), (5, 0.75117123)]","['food', 'good', 'great', 'pasta', 'staff', 'service', 'helpful', 'definitely', 'recommend', 'solar']",Paul and Abi were delightful as they explained the history of Bath via boat tour with an added delight of Prosecco. We felt at ease and comfortable. They were friendly and engaging and we really enjoyed the ride. We only came to Bath for a day trip and I would highly recommend this boat tour to soak in as much as possible in a short amount of time. Thank you Paul and Abi for your hospitality.
"[(1, 0.5556154), (5, 0.40860182)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.5549589), (5, 0.40925834)]","['good', 'great', 'cruise', 'staff', 'mosque', 'best', 'highly', 'time', 'recommend', 'well']","Such a memorable experience on board, the guide was welcoming and attentive for the prosecco top up throughout. Lovely journey along the river with a relaxing feel to the trip. Highly recommend these guys."
"[(1, 0.9427803)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.9427794)]","['great', 'energy', 'friendly', 'really', 'fantastic', 'learn', 'good', 'place', 'us', 'italian']","The trip lasts an hour and goes up and down the river, with the captain giving commentary on the history of both the river and the various buildings along its bank."
"[(1, 0.58076555), (3, 0.3714801)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.58072585), (3, 0.37152064)]",,Lovely afternoon spent on the River very informative and relaxing lasted about a hour with great commentary lovely landmarks and scenery all for £13 for a adult.
"[(0, 0.1670716), (1, 0.77789897), (2, 0.011010751), (3, 0.011011148), (4, 0.011001931), (5, 0.011006913), (6, 0.010998712)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(0, 0.16713926), (1, 0.77783126), (2, 0.011010751), (3, 0.011011147), (4, 0.011001929), (5, 0.011006913), (6, 0.010998711)]",,"Well worth the 1 hour trip up the river, staff very knowledgeable and the history talk is well worth the trip."
"[(1, 0.4106687), (5, 0.5567457)]","(5, '0.009*""good"" + 0.008*""great"" + 0.007*""cruise"" + 0.007*""staff"" + 0.007*""mosque""')","[(1, 0.41061693), (5, 0.55679756)]",,"Had a lovely time, took the 2 hour cruise. Staff were lovely and couldn't be more helpful and communicative. The recorded guide was informative, in places very amusing, and the views along the river are beautiful! A good trip out."
"[(1, 0.4973181), (6, 0.47959074)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.49731177), (6, 0.47959706)]",,Great trip up the River Dee ... Relaxing and very informative with a great commentary most of the way. Lovely houses on the way and great stately homes and estates too. Boat has a cafe and bar and the team onboard are friendly and helpful. Toilet on board too. Easy to book online or at the dock side.
"[(0, 0.020426318), (1, 0.8774288), (2, 0.020429868), (3, 0.020431055), (4, 0.02042607), (5, 0.020431673), (6, 0.020426214)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(0, 0.020426396), (1, 0.87742925), (2, 0.020430008), (3, 0.020430949), (4, 0.020426078), (5, 0.020431034), (6, 0.02042628)]",,"A lovely boat ride on the river Dee,commentary was very informative..excellent."
"[(1, 0.9785264)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.9785258)]",,"Visited the Sabrina boat with my husband & four children. We hadn’t pre booked but called the office on the day & managed to get booked in on the same day.
The boat ride was lovely, the children really enjoyed it & the guide on the landmarks along the river was so interesting & taught us facts we never even knew!!

I would definitely recommend & great value for money!"
"[(1, 0.9693318)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.969332)]",,"We enjoy the boat trip immensely. The commentary was informative , the pace was lovely and gentle , a great way to experience the calm of the river and to get a feel for Shrewsbury.  We parked in nearby car park, booked on the day,  and had some refreshments onboard. Everyone loved it ."
"[(0, 0.011013784), (1, 0.9339352), (2, 0.011010734), (3, 0.011016508), (4, 0.011008232), (5, 0.011007066), (6, 0.011008501)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(0, 0.011013756), (1, 0.933935), (2, 0.011010872), (3, 0.011016551), (4, 0.011008233), (5, 0.01100707), (6, 0.011008503)]",,"A very enjoyable little trip along the river, refreshments can be purchased on the boat, the staff were great and the commentary was very informative."
"[(1, 0.55154264), (5, 0.40373623)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.55151904), (5, 0.40375978)]",,"Super guide on the river Stour, Capt. Roy who told us heaps of interesting information and made our boat trip fun!"
"[(0, 0.014299894), (1, 0.49853867), (2, 0.014301709), (3, 0.0143232355), (4, 0.014309467), (5, 0.42990828), (6, 0.01431869)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(0, 0.014299893), (1, 0.49837914), (2, 0.014301708), (3, 0.0143232355), (4, 0.014309465), (5, 0.4300678), (6, 0.014318689)]",,"Great relaxing tour of river stour,guide was very informative and funny,would highly recommend"
"[(1, 0.98091406)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.98091424)]",,"I visited Canterbury for the second time and I just had to bring my friend along for this amazing tour! Our guide was absolutely fantastic! He was so informative, friendly and funny. We learned so much about the story of the river and surrounding areas - it was really interesting! The boat ride was also super relaxing and the views were super stunning! Honestly, I can’t recommend this tour enough and I would go back for a third time! Well done guys!"
"[(1, 0.40923724), (4, 0.55497)]","(4, '0.012*""food"" + 0.011*""good"" + 0.010*""great"" + 0.009*""pasta"" + 0.007*""staff""')","[(1, 0.40967184), (4, 0.55453545)]",,"Absolutely amazing River tour , great crewe Dan and deano very nice gentleman,  amazing views from the river and surrounding areas definitely recommend and will definitely be back. 🥰🥰"
"[(1, 0.29340687), (3, 0.6668417)]","(3, '0.019*""helpful"" + 0.018*""staff"" + 0.013*""recycling"" + 0.012*""great"" + 0.010*""clean""')","[(1, 0.29336822), (3, 0.66687995)]",,"A very nice trip down the river on board a comfortable narrow boat was just what we needed,  we had on board entertainment from Dino which kept us all amused.  Great work guys"
"[(0, 0.6791929), (1, 0.28101665)]","(0, '0.010*""well"" + 0.009*""energy"" + 0.008*""us"" + 0.007*""staff"" + 0.007*""time""')","[(0, 0.67922103), (1, 0.2809885)]",,"Went on the river tour and it was well worth the money for the time and guided info given, its hard knowing which one to go on and I can recommend this as value for money."
