Topic Number,Coherence,Topics
6,0.30882269101944254,"[(0, '0.012*""great"" + 0.009*""really"" + 0.008*""italian"" + 0.007*""time"" + 0.007*""staff""'), (1, '0.021*""great"" + 0.008*""good"" + 0.008*""staff"" + 0.008*""recommend"" + 0.007*""river""'), (2, '0.018*""staff"" + 0.014*""helpful"" + 0.013*""well"" + 0.010*""good"" + 0.009*""recycling""'), (3, '0.009*""energy"" + 0.008*""supplier"" + 0.006*""prices"" + 0.006*""trip"" + 0.006*""river""'), (4, '0.009*""great"" + 0.008*""helpful"" + 0.007*""place"" + 0.007*""energy"" + 0.007*""food""'), (5, '0.011*""great"" + 0.010*""lovely"" + 0.009*""nice"" + 0.008*""staff"" + 0.008*""pasta""')]"
7,0.2755473070804525,"[(0, '0.010*""good"" + 0.010*""mosque"" + 0.007*""community"" + 0.007*""great"" + 0.007*""best""'), (1, '0.014*""great"" + 0.013*""staff"" + 0.012*""well"" + 0.011*""friendly"" + 0.010*""recycling""'), (2, '0.017*""energy"" + 0.011*""staff"" + 0.010*""helpful"" + 0.007*""easy"" + 0.007*""really""'), (3, '0.015*""food"" + 0.012*""italian"" + 0.011*""great"" + 0.010*""staff"" + 0.010*""well""'), (4, '0.013*""tour"" + 0.011*""lovely"" + 0.010*""really"" + 0.009*""experience"" + 0.008*""cruise""'), (5, '0.019*""great"" + 0.010*""supplier"" + 0.008*""staff"" + 0.008*""place"" + 0.007*""recommend""'), (6, '0.011*""river"" + 0.006*""restaurant"" + 0.006*""lovely"" + 0.006*""london"" + 0.006*""pasta""')]"
8,0.3183054743846022,"[(0, '0.012*""well"" + 0.011*""energy"" + 0.009*""worth"" + 0.008*""waste"" + 0.008*""nice""'), (1, '0.008*""river"" + 0.008*""cruise"" + 0.007*""italian"" + 0.007*""really"" + 0.007*""experience""'), (2, '0.017*""energy"" + 0.007*""staff"" + 0.007*""consumption"" + 0.006*""food"" + 0.005*""reconciliation""'), (3, '0.017*""staff"" + 0.013*""helpful"" + 0.012*""good"" + 0.012*""well"" + 0.011*""recycling""'), (4, '0.024*""great"" + 0.012*""staff"" + 0.009*""good"" + 0.007*""recommend"" + 0.007*""way""'), (5, '0.011*""service"" + 0.010*""good"" + 0.010*""great"" + 0.009*""staff"" + 0.009*""clean""'), (6, '0.014*""great"" + 0.012*""really"" + 0.011*""river"" + 0.010*""recommend"" + 0.009*""would""'), (7, '0.008*""clean"" + 0.006*""mosque"" + 0.005*""recycling"" + 0.005*""get"" + 0.005*""solar""')]"
9,0.30563363629339535,"[(0, '0.012*""great"" + 0.012*""food"" + 0.009*""amazing"" + 0.008*""definitely"" + 0.007*""italian""'), (1, '0.016*""us"" + 0.015*""good"" + 0.014*""supplier"" + 0.011*""great"" + 0.009*""energy""'), (2, '0.015*""great"" + 0.010*""friendly"" + 0.009*""really"" + 0.009*""good"" + 0.008*""staff""'), (3, '0.015*""pasta"" + 0.010*""staff"" + 0.008*""food"" + 0.008*""good"" + 0.007*""helpful""'), (4, '0.012*""recommend"" + 0.011*""really"" + 0.009*""great"" + 0.008*""would"" + 0.007*""food""'), (5, '0.007*""solar"" + 0.007*""lovely"" + 0.006*""community"" + 0.006*""limited"" + 0.006*""day""'), (6, '0.016*""river"" + 0.009*""cruise"" + 0.009*""tour"" + 0.009*""lovely"" + 0.007*""trip""'), (7, '0.017*""staff"" + 0.017*""recycling"" + 0.016*""great"" + 0.013*""helpful"" + 0.012*""organised""'), (8, '0.029*""energy"" + 0.019*""helpful"" + 0.010*""staff"" + 0.008*""best"" + 0.007*""waste""')]"
10,0.3397129849657135,"[(0, '0.013*""lovely"" + 0.011*""recommend"" + 0.010*""food"" + 0.009*""great"" + 0.008*""place""'), (1, '0.018*""river"" + 0.016*""cruise"" + 0.013*""tour"" + 0.012*""boat"" + 0.011*""trip""'), (2, '0.027*""great"" + 0.013*""friendly"" + 0.012*""really"" + 0.012*""good"" + 0.009*""trip""'), (3, '0.009*""back"" + 0.007*""pizza"" + 0.006*""energy"" + 0.006*""pasta"" + 0.006*""little""'), (4, '0.012*""pasta"" + 0.011*""italian"" + 0.007*""restaurant"" + 0.007*""say"" + 0.007*""lovely""'), (5, '0.016*""food"" + 0.014*""good"" + 0.011*""mosque"" + 0.011*""recommend"" + 0.009*""italian""'), (6, '0.018*""energy"" + 0.009*""service"" + 0.008*""always"" + 0.008*""help"" + 0.008*""well""'), (7, '0.023*""helpful"" + 0.022*""staff"" + 0.016*""recycling"" + 0.015*""organised"" + 0.014*""well""'), (8, '0.009*""time"" + 0.009*""highly"" + 0.008*""staff"" + 0.007*""great"" + 0.007*""company""'), (9, '0.013*""waste"" + 0.012*""staff"" + 0.011*""great"" + 0.009*""also"" + 0.008*""good""')]"
11,0.34779325570151176,"[(0, '0.013*""staff"" + 0.013*""lovely"" + 0.010*""helpful"" + 0.008*""really"" + 0.008*""great""'), (1, '0.013*""well"" + 0.011*""good"" + 0.007*""food"" + 0.007*""organised"" + 0.007*""stephanie""'), (2, '0.019*""great"" + 0.010*""really"" + 0.010*""friendly"" + 0.010*""us"" + 0.009*""experience""'), (3, '0.019*""great"" + 0.015*""recommend"" + 0.012*""tour"" + 0.011*""river"" + 0.009*""trip""'), (4, '0.012*""staff"" + 0.011*""cruise"" + 0.009*""good"" + 0.009*""river"" + 0.008*""way""'), (5, '0.020*""great"" + 0.019*""energy"" + 0.018*""helpful"" + 0.017*""company"" + 0.017*""service""'), (6, '0.008*""really"" + 0.008*""energy"" + 0.008*""pasta"" + 0.007*""staff"" + 0.007*""lovely""'), (7, '0.013*""place"" + 0.010*""recycling"" + 0.010*""peaceful"" + 0.007*""clean"" + 0.007*""site""'), (8, '0.012*""staff"" + 0.012*""supplier"" + 0.009*""service"" + 0.008*""great"" + 0.008*""new""'), (9, '0.013*""best"" + 0.012*""clean"" + 0.012*""staff"" + 0.012*""good"" + 0.011*""great""'), (10, '0.010*""time"" + 0.009*""river"" + 0.007*""great"" + 0.007*""lovely"" + 0.007*""project""')]"
12,0.35346057662524144,"[(0, '0.014*""great"" + 0.013*""trip"" + 0.013*""river"" + 0.012*""nice"" + 0.011*""time""'), (1, '0.015*""energy"" + 0.014*""great"" + 0.014*""good"" + 0.008*""waste"" + 0.008*""easy""'), (2, '0.009*""friendly"" + 0.009*""helpful"" + 0.008*""staff"" + 0.008*""pasta"" + 0.007*""energy""'), (3, '0.013*""lovely"" + 0.009*""italian"" + 0.008*""really"" + 0.008*""pizza"" + 0.007*""service""'), (4, '0.013*""helpful"" + 0.013*""recycling"" + 0.012*""clean"" + 0.011*""great"" + 0.010*""really""'), (5, '0.011*""energy"" + 0.011*""time"" + 0.008*""good"" + 0.008*""really"" + 0.008*""great""'), (6, '0.015*""great"" + 0.012*""well"" + 0.012*""helpful"" + 0.011*""staff"" + 0.009*""place""'), (7, '0.011*""good"" + 0.007*""lovely"" + 0.007*""pasta"" + 0.007*""nice"" + 0.007*""staff""'), (8, '0.010*""helpful"" + 0.010*""recycling"" + 0.009*""friendly"" + 0.007*""team"" + 0.006*""staff""'), (9, '0.023*""great"" + 0.015*""friendly"" + 0.012*""well"" + 0.012*""service"" + 0.011*""staff""'), (10, '0.014*""recommend"" + 0.011*""staff"" + 0.010*""great"" + 0.010*""helpful"" + 0.009*""would""'), (11, '0.021*""river"" + 0.015*""us"" + 0.014*""supplier"" + 0.013*""staff"" + 0.013*""cruise""')]"
13,0.36692888221925674,"[(0, '0.014*""supplier"" + 0.011*""river"" + 0.011*""prices"" + 0.009*""would"" + 0.009*""well""'), (1, '0.016*""helpful"" + 0.014*""staff"" + 0.010*""lovely"" + 0.009*""clean"" + 0.008*""friendly""'), (2, '0.014*""great"" + 0.010*""energy"" + 0.009*""us"" + 0.009*""son"" + 0.008*""time""'), (3, '0.011*""great"" + 0.009*""bjj"" + 0.008*""youre"" + 0.008*""good"" + 0.007*""place""'), (4, '0.017*""service"" + 0.012*""highly"" + 0.011*""good"" + 0.010*""recommend"" + 0.009*""helpful""'), (5, '0.017*""energy"" + 0.014*""well"" + 0.009*""nice"" + 0.008*""enough"" + 0.008*""consumption""'), (6, '0.011*""experience"" + 0.008*""us"" + 0.008*""also"" + 0.008*""cruise"" + 0.007*""good""'), (7, '0.014*""great"" + 0.009*""really"" + 0.009*""service"" + 0.008*""lovely"" + 0.008*""friendly""'), (8, '0.010*""italian"" + 0.009*""food"" + 0.009*""really"" + 0.008*""good"" + 0.008*""place""'), (9, '0.010*""great"" + 0.009*""staff"" + 0.007*""solar"" + 0.007*""everyone"" + 0.007*""get""'), (10, '0.032*""staff"" + 0.029*""great"" + 0.025*""helpful"" + 0.025*""recycling"" + 0.020*""friendly""'), (11, '0.022*""river"" + 0.017*""recommend"" + 0.017*""tour"" + 0.014*""boat"" + 0.012*""would""'), (12, '0.010*""pasta"" + 0.010*""sauce"" + 0.008*""good"" + 0.006*""recycling"" + 0.006*""friendly""')]"
14,0.351784690431555,"[(0, '0.013*""good"" + 0.009*""well"" + 0.009*""really"" + 0.009*""lovely"" + 0.007*""site""'), (1, '0.015*""great"" + 0.011*""service"" + 0.010*""recommend"" + 0.008*""place"" + 0.008*""atmosphere""'), (2, '0.013*""staff"" + 0.012*""great"" + 0.012*""helpful"" + 0.010*""good"" + 0.010*""time""'), (3, '0.020*""supplier"" + 0.017*""great"" + 0.016*""prices"" + 0.010*""new"" + 0.009*""energy""'), (4, '0.014*""friendly"" + 0.012*""good"" + 0.012*""great"" + 0.012*""staff"" + 0.010*""time""'), (5, '0.027*""river"" + 0.018*""cruise"" + 0.015*""london"" + 0.011*""along"" + 0.010*""tour""'), (6, '0.016*""energy"" + 0.008*""consumption"" + 0.007*""additional"" + 0.007*""reconciliation"" + 0.006*""highly""'), (7, '0.020*""great"" + 0.016*""food"" + 0.014*""nice"" + 0.012*""italian"" + 0.012*""lovely""'), (8, '0.018*""recommend"" + 0.016*""staff"" + 0.013*""river"" + 0.012*""well"" + 0.012*""really""'), (9, '0.012*""restaurant"" + 0.012*""pasta"" + 0.008*""place"" + 0.008*""enough"" + 0.008*""gf""'), (10, '0.018*""well"" + 0.015*""trip"" + 0.012*""us"" + 0.011*""staff"" + 0.010*""business""'), (11, '0.013*""mosque"" + 0.009*""everyone"" + 0.009*""experience"" + 0.008*""clean"" + 0.008*""well""'), (12, '0.025*""recycling"" + 0.016*""staff"" + 0.016*""always"" + 0.015*""helpful"" + 0.014*""help""'), (13, '0.013*""helpful"" + 0.011*""energy"" + 0.007*""evening"" + 0.007*""full"" + 0.007*""organised""')]"
15,0.3772318437342432,"[(0, '0.014*""staff"" + 0.013*""also"" + 0.013*""good"" + 0.011*""recommend"" + 0.011*""informative""'), (1, '0.012*""energy"" + 0.011*""great"" + 0.009*""staff"" + 0.009*""supplier"" + 0.009*""prices""'), (2, '0.013*""place"" + 0.012*""great"" + 0.008*""time"" + 0.007*""looking"" + 0.007*""love""'), (3, '0.021*""great"" + 0.011*""lovely"" + 0.011*""staff"" + 0.010*""clean"" + 0.010*""community""'), (4, '0.015*""great"" + 0.008*""good"" + 0.007*""work"" + 0.007*""chris"" + 0.006*""get""'), (5, '0.017*""lovely"" + 0.010*""gf"" + 0.010*""little"" + 0.009*""pizza"" + 0.008*""staff""'), (6, '0.018*""good"" + 0.015*""really"" + 0.012*""stephanie"" + 0.011*""time"" + 0.009*""great""'), (7, '0.014*""amazing"" + 0.012*""us"" + 0.012*""really"" + 0.010*""boat"" + 0.010*""like""'), (8, '0.019*""italian"" + 0.016*""food"" + 0.014*""really"" + 0.014*""pasta"" + 0.012*""recommend""'), (9, '0.014*""river"" + 0.011*""cruise"" + 0.011*""london"" + 0.011*""along"" + 0.008*""eye""'), (10, '0.023*""great"" + 0.021*""trip"" + 0.021*""boat"" + 0.021*""river"" + 0.020*""lovely""'), (11, '0.010*""food"" + 0.009*""well"" + 0.008*""staff"" + 0.008*""time"" + 0.006*""good""'), (12, '0.016*""energy"" + 0.016*""us"" + 0.010*""river"" + 0.010*""project"" + 0.010*""time""'), (13, '0.014*""energy"" + 0.011*""recommend"" + 0.010*""trip"" + 0.009*""best"" + 0.009*""service""'), (14, '0.038*""staff"" + 0.030*""helpful"" + 0.024*""recycling"" + 0.021*""well"" + 0.019*""organised""')]"
